,revenue
0,2259827.5
1,4392447.222222222
2,2500600.0
3,2950530.090909091
4,40098704.6
5,67435522.875
6,17352395.444444444
7,37953409.25
8,5941666.666666667
9,15050906.5
10,3042281.1818181816
11,27937435.90909091
12,41744789.88235294
13,14833138.57142857
14,12008973.0
15,16895999.42857143
16,15284872.083333334
17,25407139.46153846
18,18424354.214285713
19,37386477.11111111
20,23849786.772727273
21,31120216.864864863
22,21767278.18604651
23,35443322.258064516
24,46461008.5
25,45741256.461538464
26,57104227.488372095
27,43478834.06349207
28,41793550.38297872
29,41145145.906542055
30,36099637.13888889
31,29616286.13375796
32,31870650.792746115
33,39761869.36057692
34,54277852.941176474
35,47324504.133004926
36,57425954.62962963
37,62292045.959349595
38,72820491.08745247
39,70305362.14590748
40,77504203.04067796
41,84408921.95548962
42,82026111.11325967
43,66330294.702083334
44,74347212.96458334
45,83448020.45
46,79945958.02597402
47,84135915.81508079
48,88221932.75855856
49,120544648.53939395
